site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
China,NS,AMF,-0.330833758,-0.610380553,1.900290703,1.141559172,-0.939485547,0.488362495,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.299522028,-0.656540371,ITS.cc.233
China,NS,AMF,-0.182633492,-0.453300204,1.765782052,1.072464084,-0.855131779,0.259073391,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.361467873,-0.579692234,ITS.cc.236
US CA,NS,AMF,-0.809525351,-0.869181513,0.516773146,-1.118837258,-0.792076739,-0.293603291,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.725267606,1.512394322,ITS.cc.237
US CA,NS,AMF,-0.612082824,-0.706438556,0.516773146,-1.118837258,-0.756689563,-0.284051271,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.719590697,1.377266934,ITS.cc.238
US CA,NS,AMF,-0.643806204,-0.771290283,0.526380907,-1.143514075,-0.691444456,-0.281982464,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.808161933,1.479831515,ITS.cc.239
Japan,S,AMF,-0.001289396,-0.082955663,0.420695538,1.417939521,0.385652719,-0.403560135,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.625094179,-0.223066051,ITS.cc.24
US CA,NS,AMF,-0.601666192,-0.700585899,0.526380907,-1.143514075,-0.521143671,-0.557923682,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.774949038,1.32669134,ITS.cc.240
US CA,NS,AMF,-0.980926298,-1.018141716,0.09403167,-1.074418988,-0.871697885,0.047493026,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.460831255,1.278113305,ITS.cc.241
US CA,NS,AMF,-0.951096851,-0.965690062,0.09403167,-1.074418988,-0.693656155,-0.594899576,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.501000396,1.07846616,ITS.cc.242
US CA,NS,AMF,-0.996077762,-1.058675237,1.285394011,-1.178061619,-0.723514085,-0.678198182,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.25736485,1.022629535,ITS.cc.243
US CA,NS,AMF,-0.416534231,-0.539897196,1.285394011,-1.178061619,-0.977859414,0.217632295,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.772270802,1.488868378,ITS.cc.244
US CA,NS,AMF,-0.711040829,-0.720388397,-0.540080544,-1.182996982,-0.90929676,0.066918733,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.629794361,1.204216297,ITS.cc.245
US CA,NS,AMF,-0.937365836,-0.97766903,-0.540080544,-1.182996982,-0.889391473,-0.247004437,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.447944625,1.092786856,ITS.cc.246
US CA,S,AMF,-0.908956839,-0.863041485,0.487949863,-1.158320165,-0.825252216,-0.242657302,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.793792048,1.386552211,ITS.cc.247
US CA,S,AMF,-0.783010288,-0.652701856,0.487949863,-1.158320165,-0.858427694,-0.040584894,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.788016199,1.197782758,ITS.cc.248
US CA,S,AMF,-0.876759976,-0.870204628,0.122854952,-1.133643348,-0.769959754,0.055793125,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.694782892,1.129518813,ITS.cc.249
Japan,S,AMF,-0.104035268,-0.18155801,0.612850754,1.171171352,-0.215929276,-0.208986398,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.822527741,-0.546368467,ITS.cc.25
US CA,S,AMF,-0.514071786,-0.567934702,0.122854952,-1.133643348,-0.806452779,-0.25009433,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.525139482,1.095842914,ITS.cc.250
US CA,S,AMF,-1.006967878,-0.954731312,0.113247191,-1.178061619,-0.965695072,0.217167762,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.391201175,0.767801936,ITS.cc.251
US CA,S,AMF,-0.824203333,-0.911392615,0.113247191,-1.178061619,-0.974541866,0.374530648,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.541723132,1.121025525,ITS.cc.252
US CA,S,AMF,-0.716722629,-0.647164658,0.468734342,-1.044806807,-0.87943883,-0.077959307,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.773707239,1.310943882,ITS.cc.253
US CA,S,AMF,-0.767385339,-0.825028457,0.468734342,-1.044806807,-0.640575391,-0.077585507,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.7424845,1.214719405,ITS.cc.254
US CA,S,AMF,-0.465303008,-0.525934969,-0.069300264,-1.163255529,-1.002188097,0.706533471,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.868185934,1.412859288,ITS.cc.255
US CA,S,AMF,-0.414640298,-0.500203802,-0.069300264,-1.163255529,-0.80534693,-0.38731959,0.003051391,-0.291783039,0.014113582,-1.282000794,-1.035994465,-1.831571658,1.426300665,ITS.cc.256
Japan,S,AMF,-0.718616562,-0.711440263,0.420695538,1.368585888,0.521672178,-0.565728984,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,1.489409656,0.213486562,ITS.cc.26
Japan,S,AMF,-1.345508421,-1.368893665,0.612850754,1.417939521,-0.349737036,0.275847162,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.783084468,-0.234463832,ITS.cc.27
Japan,S,AMF,-0.727139261,-0.672680344,0.80500597,1.417939521,0.144577581,-0.382583182,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.936886621,-0.029429855,ITS.cc.28
Japan,S,AMF,-0.707726446,-0.633580119,0.612850754,0.529574112,0.654374089,-0.534948327,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.58703306,-0.15600157,ITS.cc.29
Japan,S,AMF,-0.318996676,-0.426125236,0.80500597,0.430866844,0.306031573,-0.46963416,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.771329589,-0.177425551,ITS.cc.30
Japan,NS,AMF,-1.623443105,-1.590699826,0.997161187,2.405012198,-1.029834329,7.289332652,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.624100839,-0.057379406,ITS.cc.31
