site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.535814,50.767235,1344.61,3.9,4.79,182,ITS.cc.182,0.839,14.643
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.536593,50.768617,1358.01,9,4.03,183,ITS.cc.183,1.661,30.084
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.537492,50.768521,1351.06,8.6,3.59,184,ITS.cc.184,0.587,10.306
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.537658,50.769055,1346.09,10.3,4.24,185,ITS.cc.185,0.547,7.723
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.541361,50.769484,1346.86,6.5,4.04,186,ITS.cc.186,1.608,25.065
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.541341,50.769407,1346.72,6.4,4.01,187,ITS.cc.187,0.707,9.868
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.543806,50.769592,1337.33,23.8,4.2,188,ITS.cc.188,0.755,9.78
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.544448,50.769873,1329.3,8.7,3.78,189,ITS.cc.189,1.469,25.876
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.544236,50.770306,1333.57,22.4,4.09,190,ITS.cc.190,0.877,13.62
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.536058,50.766833,1342.13,15.3,4.19,191,ITS.cc.191,0.416,5.684
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.535811,50.767256,1344.91,10.7,4.13,192,ITS.cc.192,0.714,11.72
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.536515,50.768603,1354.28,12.5,4.18,193,ITS.cc.193,0.67,10.038
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.537486,50.768493,1347.41,19.4,4.05,194,ITS.cc.194,0.34,4.957
